samples,cost,reduced_scenario,probability
56,487717793.3536866,147.0,0.0
57,483889172.2266909,147.0,0.0
58,473265619.12329954,275.0,0.0
59,468317418.444593,391.0,0.0
60,471416453.00537044,275.0,0.0
61,478234671.0189672,430.0,0.0
62,479239801.3676932,430.0,0.0
63,485590891.9227603,147.0,0.0
64,482566800.2366877,423.0,0.0
65,479437710.6456802,430.0,0.0
66,472530968.7962299,275.0,0.0
67,456046667.7285488,221.0,0.0
68,493496279.84332657,78.0,0.0
69,483891399.53240436,147.0,0.0
70,464258388.471354,4.0,0.0
71,470674991.97845495,35.0,0.0
72,481852352.488271,423.0,0.0
73,485212037.6154219,147.0,0.0
74,454981728.3088124,221.0,0.0
75,458499988.8783162,320.0,0.0
76,447573582.20660293,51.0,0.0
77,475171271.99804544,206.0,0.0
78,495520698.8128276,78.0,0.04200000000000001
79,486879432.9599126,147.0,0.0
80,457730192.0247043,221.0,0.0
81,490262145.68003184,491.0,0.0
82,474527169.47599226,206.0,0.0
83,458931597.20437294,320.0,0.0
84,483487240.3974448,147.0,0.0
85,490789755.01806283,491.0,0.0
86,466539929.6019749,144.0,0.0
87,467655126.90868944,391.0,0.0
88,473934338.3879555,206.0,0.0
89,462018443.0664498,4.0,0.0
90,470994517.5885491,35.0,0.0
91,481863498.91686887,423.0,0.0
92,500195410.7315715,78.0,0.0
93,446814247.56445205,51.0,0.0
94,480184503.8229463,423.0,0.0
95,482771739.99524826,423.0,0.0
96,483733658.4194523,147.0,0.0
97,476215335.21561795,206.0,0.0
98,487749736.95710677,147.0,0.0
99,461276377.8030442,320.0,0.0
100,470372863.66281676,35.0,0.0
101,455909018.4903167,221.0,0.0
102,473867831.1749119,206.0,0.0
103,456657609.9688915,221.0,0.0
104,462876533.50637025,4.0,0.0
105,473271824.81750304,275.0,0.0
106,465538348.9387373,144.0,0.0
107,476348159.0568859,206.0,0.0
108,480058726.64104265,423.0,0.0
109,483336026.17570364,147.0,0.0
110,479163677.8583341,430.0,0.0
111,469630301.8104217,35.0,0.0
112,473851953.40991867,206.0,0.0
113,467702572.2015678,391.0,0.0
114,490371709.77772737,491.0,0.0
115,485426697.2936338,147.0,0.0
116,486309949.9778189,147.0,0.0
117,452920283.13303584,187.0,0.0
118,484972012.17989105,147.0,0.0
119,467971671.6195499,391.0,0.0
120,478530337.4141356,430.0,0.0
121,463394953.75493515,4.0,0.0
122,473594819.8308481,275.0,0.0
123,500679116.32563674,218.0,0.0
124,460186681.8699398,320.0,0.0
125,479940848.19847304,430.0,0.0
126,482968929.48505586,423.0,0.0
127,468309194.36759627,391.0,0.0
128,478898089.71924245,430.0,0.0
129,467517780.61042744,391.0,0.0
130,466206057.1715671,144.0,0.0
131,463209854.1804593,4.0,0.0
132,453570575.57554203,187.0,0.0
133,467875514.7515761,391.0,0.0
134,485893811.23681617,147.0,0.0
135,469456316.68613255,35.0,0.0
136,471424402.61130744,275.0,0.0
137,473193861.85305995,275.0,0.0
138,463507062.1768987,4.0,0.0
139,473900614.3107228,206.0,0.0
140,465206721.4153177,144.0,0.0
141,458488216.45765054,320.0,0.0
142,461030525.824102,320.0,0.0
143,472283753.50810736,275.0,0.0
144,465657972.9953805,144.0,0.052000000000000005
145,464092198.53805417,4.0,0.0
146,497123555.7771722,78.0,0.0
147,485081259.4024325,147.0,0.098
148,470321709.9974245,35.0,0.0
149,460083915.1776624,320.0,0.0
150,461449684.7680735,320.0,0.0
151,493552801.65389204,78.0,0.0
152,456322783.7590731,221.0,0.0
153,454859945.43021894,221.0,0.0
154,507331464.282495,218.0,0.0
155,469459160.0146719,35.0,0.0
156,470445273.6197,35.0,0.0
157,473709683.167676,206.0,0.0
158,462192698.950622,4.0,0.0
159,467635705.7942927,391.0,0.0
160,475828041.313434,206.0,0.0
161,498010839.551208,78.0,0.0
162,452288790.0500085,187.0,0.0
163,476300183.28148514,206.0,0.0
164,485473935.1647717,147.0,0.0
165,465875135.95285356,144.0,0.0
166,462481767.1989875,4.0,0.0
167,467585208.9629361,391.0,0.0
168,458082809.98229825,221.0,0.0
169,465603782.6545252,144.0,0.0
170,479923076.31898725,430.0,0.0
171,465575875.42357206,144.0,0.0
172,495356089.5980956,78.0,0.0
173,455508285.73641044,221.0,0.0
174,469747623.19839114,35.0,0.0
175,477976139.84658986,430.0,0.0
176,484172557.14844227,147.0,0.0
177,470626718.0312689,35.0,0.0
178,481999212.16532886,423.0,0.0
179,508922574.26184404,218.0,0.0
180,453303111.6845288,187.0,0.0
181,479961892.107013,423.0,0.0
182,470871951.4822048,35.0,0.0
183,491910714.72663033,491.0,0.0
184,490738706.5211635,491.0,0.0
185,486692763.35554284,147.0,0.0
186,452500189.5615929,187.0,0.0
187,452824117.6483695,187.0,0.05600000000000001
188,479139254.37433463,430.0,0.0
189,467384668.13335633,391.0,0.0
190,459558624.69322485,320.0,0.0
191,454567157.8334268,187.0,0.0
192,468979238.60800403,391.0,0.0
193,465648040.37204003,144.0,0.0
194,461107141.14868444,320.0,0.0
195,462548883.6167773,4.0,0.0
196,465211822.42270875,144.0,0.0
197,487222829.502411,147.0,0.0
198,484499815.32899445,147.0,0.0
199,454676295.0130761,187.0,0.0
200,516973625.8435533,218.0,0.0
201,487754787.86735153,147.0,0.0
202,458869493.1591875,320.0,0.0
203,494990677.5786797,78.0,0.0
204,481380841.9523843,423.0,0.0
205,483351686.37495244,147.0,0.0
206,475104387.87200415,206.0,0.098
207,475048170.64804924,206.0,0.0
208,493843444.9746877,78.0,0.0
209,485004430.56507397,147.0,0.0
210,462504455.4304323,4.0,0.0
211,453761196.0563537,187.0,0.0
212,465601211.4149022,144.0,0.0
213,467244639.49424446,391.0,0.0
214,486691264.82334846,147.0,0.0
215,460253452.462035,320.0,0.0
216,484588557.55894077,147.0,0.0
217,452309137.1773366,187.0,0.0
218,505376365.58801323,218.0,0.020000000000000004
219,456798337.6949196,221.0,0.0
220,451556956.83594507,187.0,0.0
221,456564121.9675049,221.0,0.05
222,475431211.8370387,206.0,0.0
223,476435995.27300805,206.0,0.0
224,459034995.78757936,320.0,0.0
225,464237190.11693954,4.0,0.0
226,473998539.7213514,206.0,0.0
227,467032640.8195172,391.0,0.0
228,471808260.3667703,275.0,0.0
229,472462284.68190944,275.0,0.0
230,461338118.03033227,320.0,0.0
231,460449602.2631219,320.0,0.0
232,477719826.9817994,430.0,0.0
233,449218931.0548052,187.0,0.0
234,452536882.3280551,187.0,0.0
235,470314871.7813081,35.0,0.0
236,458370915.1357165,221.0,0.0
237,478689107.1290999,430.0,0.0
238,474869363.0653582,206.0,0.0
239,462369346.45965374,4.0,0.0
240,469164968.82320476,391.0,0.0
241,478063756.5360155,430.0,0.0
242,478559216.877432,430.0,0.0
243,461369621.04415286,320.0,0.0
244,472159097.65457904,275.0,0.0
245,476826047.7725992,430.0,0.0
246,450933840.65626806,187.0,0.0
